ISIN,SEDOL,Security Name,Currency,Number of Shares,Percent of Fund,Trade Country Name,Local Price,Sector Classification,Industry Classification
US04963C2098,B0C8KV2,AtriCure Inc.,USD,917,0.004925,United States,26.15,Health Care,Health Care Equipment & Supplies
KYG651631007,BMCRLL0,Joby Aviation Inc.,USD,4868,0.004899,United States,4.9,Industrials,Airlines
US68287N1000,BFNSSD4,OneSpan Inc.,USD,2078,0.004853,United States,11.37,Information Technology,Software
US09239B1098,BD3WZS6,BlackLine Inc.,USD,375,0.004819,United States,62.56,Information Technology,Software
US8935291075,2901714,Transcat Inc.,USD,219,0.004776,United States,106.18,Industrials,Trading Companies & Distributors
US21867A1051,BNKT9M2,Core Laboratories Inc.,USD,1368,0.004771,United States,16.98,Energy,Energy Equipment & Services
US35953D1046,BMW4TN9,fuboTV Inc.,USD,14756,0.004728,United States,1.56,Communication Services,Interactive Media & Services
US8905161076,2896809,Tootsie Roll Industries Inc.,USD,730,0.00472,United States,31.48,Consumer Staples,Food Products
US2067041085,BH3N8W2,Concrete Pumping Holdings Inc. Class A,USD,2980,0.004695,United States,7.67,Industrials,Construction & Engineering
US5207761058,2508126,Distribution Solutions Group Inc.,USD,643,0.004694,United States,35.54,Industrials,Trading Companies & Distributors
US09077A1060,BNKF6N0,Biomea Fusion Inc,USD,1807,0.004678,United States,12.605,Health Care,Biotechnology
US03783C1009,BYN7H48,AppFolio Inc Class A,USD,99,0.004677,United States,230.01,Information Technology,Software
US40131M1099,BFXC911,Guardant Health Inc.,USD,1253,0.004671,United States,18.15,Health Care,Health Care Providers & Services
US47103J1051,BMFX8Y7,Janux Therapeutics Inc.,USD,641,0.004661,United States,35.4,Health Care,Biotechnology
US02081G2012,BD60BG7,Alphatec Holdings Inc.,USD,1691,0.004651,United States,13.39,Health Care,Health Care Equipment & Supplies
US76029N1063,BDDVW37,Replimune Group Inc.,USD,3078,0.00464,United States,7.34,Health Care,Biotechnology
US68218J1034,BN13S71,OmniAb Inc.,USD,4183,0.004597,United States,5.35,Health Care,Life Sciences Tools & Services
US65487K1007,BFZP4R9,nLIGHT Inc.,USD,1812,0.004589,United States,12.33,Information Technology,Electronic Equipment Instruments & Components
US47074L1052,BL9X5X4,Jamf Holding Corp,USD,1255,0.004573,United States,17.74,Information Technology,Software
US14843C1053,BKLCWZ3,Castle Biosciences Inc.,USD,1048,0.004572,United States,21.24,Health Care,Health Care Providers & Services
US53635B1070,B0ZN8Z4,Liquidity Services Inc.,USD,1204,0.00457,United States,18.48,Industrials,Commercial Services & Supplies
US15961R1059,BMC9RZ2,ChargePoint Holdings Inc. Class A,USD,12141,0.004539,United States,1.82,Industrials,Electrical Equipment
BMG762791017,BMW4NZ9,Roivant Sciences Ltd.,USD,1897,0.004485,United States,11.51,Health Care,Biotechnology
US9742501029,2391092,Winmark Corporation,USD,65,0.00448,United States,335.59,Consumer Discretionary,Specialty Retail
US4627261005,B0J2NS5,iRobot Corporation,USD,2502,0.004471,United States,8.7,Consumer Discretionary,Household Durables
US46578C1080,BPF0KH6,Ivanhoe Electric Inc.,USD,2052,0.004425,United States,10.5,Materials,Metals & Mining
US0042251084,2713317,ACADIA Pharmaceuticals Inc.,USD,1184,0.00439,United States,18.05,Health Care,Biotechnology
US3765491010,B83TNY4,Gladstone Land Corp.,USD,1636,0.004375,United States,13.02,Real Estate,Specialized Reits
US7534221046,BZ22CY6,Rapid7 Inc.,USD,444,0.004374,United States,47.96,Information Technology,Software
US45828L1089,BP7L3L2,Integral Ad Science Holding Corp,USD,2156,0.004353,United States,9.83,Communication Services,Media
US8485771021,B3ZG8F4,Spirit Airlines Inc.,USD,4623,0.004349,United States,4.58,Industrials,Airlines
US45332Y1091,BLDRF10,Inari Medical Inc.,USD,500,0.004348,United States,42.34,Health Care,Health Care Equipment & Supplies
US09062W2044,BJH08B2,BioLife Solutions Inc.,USD,1194,0.004294,United States,17.51,Health Care,Life Sciences Tools & Services
US15117B2025,BJLV8T9,Celldex Therapeutics Inc.,USD,526,0.004275,United States,39.57,Health Care,Biotechnology
US05464T1043,BYZR4X4,Axsome Therapeutics Inc.,USD,288,0.004269,United States,72.17,Health Care,Pharmaceuticals
IE00B91XRN20,B91XRN2,Prothena Corp. Plc,USD,892,0.004262,United States,23.26,Health Care,Biotechnology
US3722842081,B725NJ1,Genie Energy Ltd. Class B,USD,1329,0.004209,United States,15.42,Utilities,Electric Utilities
US0431132085,2418258,Artesian Resources Corporation Class A,USD,556,0.004179,United States,36.59,Utilities,Water Utilities
US58450V1044,BLR8XV5,MediaAlpha Inc. Class A,USD,1102,0.004178,United States,18.46,Communication Services,Interactive Media & Services
US26818M1080,BN15WD1,Dyne Therapeutics Inc,USD,763,0.004145,United States,26.45,Health Care,Biotechnology
